fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
34.5;24.5;25.5;11.5;42.5;23.5;45.5;187.5;40.5;31.5;11.5;5.0
80.5;46.5;51.5;21.5;29.5;5.5;23.5;337.5;20.5;51.5;32.5;5.0
73.5;12.5;54.5;11.5;36.5;6.5;6.5;224.5;32.5;36.5;23.5;7.0
36.5;102.5;2.5;33.5;61.5;26.5;57.5;344.5;72.5;36.5;18.5;4.0
34.5;21.5;48.5;36.5;43.5;15.5;33.5;258.5;47.5;50.5;51.5;8.0
24.5;43.5;6.5;30.5;42.5;7.5;23.5;314.5;79.5;55.5;12.5;6.0
70.5;4.5;53.5;42.5;68.5;4.5;19.5;331.5;40.5;61.5;22.5;6.0
34.5;44.5;8.5;42.5;52.5;27.5;57.5;203.5;48.5;31.5;29.5;6.0
70.5;4.5;53.5;42.5;68.5;4.5;19.5;331.5;40.5;61.5;22.5;6.0
64.5;24.5;60.5;42.5;36.5;17.5;61.5;327.5;34.5;42.5;22.5;5.0
39.5;73.5;22.5;21.5;41.5;10.5;34.5;262.5;43.5;28.5;12.5;5.0
30.5;61.5;20.5;71.5;53.5;27.5;90.5;323.5;50.5;41.5;12.5;5.0
34.5;44.5;8.5;42.5;52.5;27.5;57.5;203.5;48.5;31.5;29.5;6.0
24.5;43.5;6.5;30.5;42.5;7.5;23.5;314.5;79.5;55.5;12.5;6.0
70.5;4.5;53.5;42.5;68.5;4.5;19.5;331.5;40.5;61.5;22.5;6.0
58.5;18.5;47.5;67.5;38.5;5.5;9.5;276.5;35.5;46.5;49.5;8.0
44.5;28.5;34.5;59.5;52.5;10.5;43.5;321.5;50.5;41.5;26.5;7.0
69.5;12.5;46.5;36.5;36.5;6.5;15.5;311.5;24.5;46.5;11.5;6.0
32.5;13.5;70.5;35.5;119.5;5.5;6.5;251.5;37.5;72.5;19.5;7.0
31.5;41.5;14.5;30.5;32.5;12.5;49.5;244.5;48.5;21.5;8.5;5.0
44.5;28.5;34.5;59.5;52.5;10.5;43.5;321.5;50.5;41.5;26.5;7.0
54.5;50.5;9.5;34.5;66.5;32.5;67.5;341.5;43.5;35.5;18.5;5.0
54.5;50.5;9.5;34.5;66.5;32.5;67.5;341.5;43.5;35.5;18.5;5.0
75.5;34.5;57.5;13.5;38.5;25.5;45.5;333.5;22.5;40.5;24.5;6.0
30.5;28.5;14.5;30.5;57.5;29.5;49.5;218.5;49.5;34.5;24.5;6.0
42.5;41.5;11.5;22.5;56.5;20.5;45.5;276.5;46.5;50.5;28.5;7.0
71.5;31.5;55.5;33.5;69.5;33.5;93.5;349.5;32.5;59.5;9.5;5.0
42.5;41.5;11.5;22.5;56.5;20.5;45.5;276.5;46.5;50.5;28.5;7.0
65.5;6.5;50.5;13.5;118.5;6.5;14.5;288.5;42.5;35.5;26.5;5.0
59.5;45.5;25.5;26.5;56.5;18.5;44.5;329.5;34.5;28.5;24.5;6.0
24.5;22.5;27.5;21.5;63.5;5.5;12.5;194.5;53.5;24.5;22.5;6.0
87.5;20.5;54.5;32.5;59.5;17.5;49.5;350.5;17.5;45.5;13.5;6.0
63.5;39.5;48.5;22.5;38.5;5.5;23.5;339.5;17.5;28.5;13.5;5.0
61.5;95.5;39.5;24.5;51.5;26.5;66.5;294.5;28.5;16.5;19.5;5.0
26.5;57.5;8.5;13.5;48.5;8.5;25.5;310.5;77.5;37.5;16.5;5.0
27.5;61.5;4.5;19.5;59.5;5.5;27.5;326.5;77.5;44.5;17.5;5.0
24.5;64.5;8.5;15.5;45.5;8.5;29.5;307.5;78.5;35.5;16.5;5.0
30.5;42.5;8.5;24.5;51.5;20.5;40.5;203.5;50.5;23.5;29.5;6.0
66.5;4.5;50.5;6.5;33.5;7.5;11.5;258.5;34.5;28.5;22.5;6.0
38.5;71.5;14.5;24.5;57.5;12.5;24.5;329.5;63.5;36.5;21.5;5.0
29.5;64.5;14.5;7.5;105.5;5.5;17.5;168.5;51.5;18.5;13.5;5.0
39.5;61.5;62.5;15.5;75.5;12.5;86.5;258.5;32.5;16.5;9.5;5.0
58.5;42.5;50.5;22.5;28.5;6.5;21.5;336.5;24.5;23.5;11.5;6.0
31.5;55.5;34.5;17.5;47.5;7.5;50.5;211.5;48.5;16.5;12.5;5.0
58.5;29.5;44.5;21.5;109.5;6.5;10.5;329.5;31.5;26.5;13.5;6.0
58.5;32.5;46.5;21.5;110.5;5.5;8.5;329.5;31.5;27.5;13.5;6.0
29.5;15.5;40.5;9.5;27.5;9.5;26.5;224.5;53.5;17.5;13.5;6.0
58.5;42.5;50.5;22.5;28.5;6.5;21.5;336.5;24.5;23.5;11.5;6.0
34.5;42.5;26.5;13.5;37.5;15.5;100.5;168.5;39.5;18.5;12.5;6.0
45.5;35.5;33.5;27.5;58.5;19.5;93.5;296.5;44.5;27.5;13.5;6.0
41.5;36.5;32.5;30.5;41.5;30.5;108.5;276.5;42.5;17.5;12.5;5.0
29.5;22.5;31.5;24.5;52.5;26.5;68.5;198.5;51.5;32.5;33.5;5.0
26.5;21.5;31.5;22.5;61.5;20.5;49.5;180.5;54.5;29.5;33.5;6.0
51.5;46.5;25.5;34.5;66.5;37.5;88.5;331.5;42.5;29.5;22.5;5.0
51.5;84.5;14.5;28.5;47.5;30.5;70.5;313.5;42.5;28.5;25.5;6.0
53.5;62.5;41.5;32.5;48.5;21.5;55.5;317.5;49.5;35.5;38.5;7.0
51.5;84.5;14.5;28.5;47.5;30.5;70.5;313.5;42.5;28.5;25.5;6.0
53.5;62.5;41.5;32.5;48.5;21.5;55.5;317.5;49.5;35.5;38.5;7.0
48.5;53.5;28.5;34.5;55.5;25.5;83.5;335.5;36.5;26.5;17.5;5.0
33.5;55.5;7.5;19.5;44.5;6.5;14.5;262.5;41.5;27.5;11.5;5.0
58.5;50.5;44.5;27.5;55.5;35.5;69.5;319.5;40.5;34.5;13.5;6.0
55.5;38.5;22.5;75.5;36.5;13.5;46.5;351.5;28.5;33.5;9.5;6.0
55.5;38.5;22.5;75.5;36.5;13.5;46.5;351.5;28.5;33.5;9.5;6.0
71.5;42.5;68.5;37.5;81.5;6.5;10.5;284.5;17.5;38.5;38.5;7.0
58.5;33.5;52.5;48.5;71.5;5.5;9.5;292.5;40.5;47.5;38.5;5.0
88.5;13.5;64.5;24.5;47.5;6.5;17.5;342.5;28.5;31.5;17.5;6.0
62.5;35.5;41.5;13.5;26.5;7.5;11.5;294.5;30.5;26.5;13.5;5.0
57.5;22.5;66.5;28.5;82.5;10.5;37.5;292.5;35.5;30.5;48.5;6.0
57.5;22.5;66.5;28.5;82.5;10.5;37.5;292.5;35.5;30.5;48.5;6.0
35.5;48.5;30.5;32.5;31.5;21.5;105.5;258.5;34.5;18.5;12.5;6.0
39.5;46.5;10.5;15.5;69.5;16.5;40.5;155.5;25.5;16.5;33.5;5.0
34.5;61.5;3.5;22.5;43.5;17.5;34.5;187.5;46.5;38.5;40.5;7.0
74.5;69.5;55.5;34.5;87.5;7.5;17.5;323.5;29.5;48.5;45.5;7.0
44.5;32.5;47.5;12.5;17.5;6.5;12.5;92.5;47.5;34.5;48.5;6.0
33.5;32.5;34.5;27.5;45.5;29.5;54.5;266.5;43.5;28.5;24.5;5.0
79.5;38.5;60.5;30.5;67.5;28.5;94.5;348.5;28.5;64.5;38.5;6.0
80.5;14.5;56.5;19.5;47.5;12.5;25.5;333.5;23.5;85.5;18.5;7.0
77.5;20.5;52.5;21.5;31.5;10.5;17.5;337.5;24.5;81.5;9.5;6.0
61.5;31.5;50.5;26.5;30.5;5.5;14.5;251.5;33.5;51.5;36.5;6.0
64.5;26.5;49.5;11.5;79.5;6.5;10.5;297.5;42.5;39.5;18.5;6.0
64.5;26.5;49.5;11.5;79.5;6.5;10.5;297.5;42.5;39.5;18.5;6.0
74.5;47.5;52.5;24.5;47.5;6.5;28.5;347.5;24.5;42.5;29.5;6.0
25.5;67.5;2.5;12.5;32.5;40.5;59.5;288.5;72.5;45.5;19.5;5.0
21.5;92.5;4.5;26.5;37.5;17.5;30.5;137.5;70.5;53.5;46.5;7.0
91.5;38.5;69.5;30.5;58.5;6.5;11.5;311.5;14.5;57.5;43.5;6.0
51.5;46.5;33.5;27.5;54.5;15.5;42.5;288.5;23.5;56.5;21.5;6.0
46.5;87.5;2.5;24.5;58.5;11.5;24.5;329.5;48.5;50.5;12.5;6.0
62.5;64.5;24.5;26.5;71.5;17.5;30.5;346.5;40.5;62.5;19.5;6.0
46.5;89.5;2.5;24.5;61.5;11.5;22.5;329.5;47.5;47.5;12.5;6.0
32.5;63.5;2.5;21.5;55.5;8.5;15.5;266.5;39.5;37.5;11.5;5.0
89.5;42.5;79.5;52.5;80.5;23.5;73.5;352.5;30.5;41.5;53.5;5.0
16.5;7.5;42.5;5.5;31.5;41.5;113.5;6.5;37.5;23.5;42.5;6.0
22.5;80.5;3.5;21.5;43.5;17.5;28.5;137.5;67.5;25.5;51.5;6.0
70.5;29.5;54.5;30.5;45.5;29.5;51.5;339.5;38.5;52.5;33.5;5.0
60.5;31.5;68.5;29.5;77.5;12.5;25.5;237.5;36.5;39.5;40.5;7.0
74.5;32.5;68.5;31.5;72.5;10.5;19.5;337.5;27.5;49.5;25.5;7.0
81.5;25.5;68.5;24.5;53.5;10.5;37.5;349.5;29.5;32.5;18.5;6.0
37.5;70.5;25.5;13.5;64.5;14.5;77.5;258.5;31.5;34.5;12.5;5.0
41.5;34.5;33.5;24.5;51.5;21.5;46.5;297.5;49.5;55.5;19.5;6.0
74.5;48.5;68.5;22.5;37.5;6.5;33.5;323.5;17.5;20.5;21.5;5.0
80.5;35.5;65.5;13.5;36.5;6.5;11.5;316.5;11.5;51.5;23.5;5.0
83.5;54.5;68.5;61.5;48.5;7.5;38.5;354.5;19.5;37.5;21.5;7.0
55.5;31.5;52.5;34.5;71.5;7.5;17.5;288.5;38.5;57.5;41.5;6.0
83.5;54.5;68.5;61.5;48.5;7.5;38.5;354.5;19.5;37.5;21.5;7.0
59.5;48.5;63.5;24.5;41.5;11.5;20.5;337.5;28.5;33.5;6.5;5.0
58.5;20.5;54.5;27.5;99.5;15.5;71.5;336.5;30.5;28.5;12.5;5.0
49.5;13.5;55.5;21.5;39.5;6.5;14.5;180.5;32.5;77.5;43.5;7.0
24.5;83.5;4.5;19.5;28.5;35.5;59.5;272.5;69.5;42.5;19.5;5.0
34.5;10.5;42.5;7.5;21.5;11.5;21.5;218.5;44.5;51.5;4.5;6.0
46.5;14.5;50.5;11.5;32.5;26.5;42.5;218.5;44.5;68.5;28.5;6.0
29.5;45.5;24.5;17.5;70.5;12.5;68.5;162.5;17.5;27.5;9.5;5.0
91.5;29.5;65.5;40.5;54.5;6.5;43.5;350.5;13.5;45.5;31.5;6.0
70.5;43.5;72.5;47.5;84.5;6.5;11.5;305.5;13.5;47.5;41.5;7.0
70.5;34.5;52.5;30.5;43.5;19.5;43.5;345.5;38.5;75.5;33.5;6.0
49.5;13.5;55.5;21.5;39.5;6.5;14.5;180.5;32.5;77.5;43.5;7.0
69.5;56.5;68.5;65.5;53.5;6.5;20.5;316.5;23.5;63.5;56.5;6.0
38.5;31.5;40.5;22.5;59.5;24.5;56.5;288.5;43.5;34.5;31.5;6.0
38.5;12.5;44.5;13.5;45.5;11.5;23.5;266.5;33.5;44.5;12.5;6.0
90.5;30.5;70.5;28.5;50.5;17.5;39.5;350.5;18.5;44.5;21.5;6.0
38.5;12.5;44.5;13.5;45.5;11.5;23.5;266.5;33.5;44.5;12.5;6.0
38.5;12.5;44.5;13.5;45.5;11.5;23.5;266.5;33.5;44.5;12.5;6.0
32.5;40.5;30.5;15.5;52.5;23.5;50.5;292.5;54.5;38.5;9.5;5.0
29.5;57.5;9.5;21.5;55.5;11.5;33.5;288.5;55.5;40.5;17.5;6.0
33.5;43.5;28.5;13.5;53.5;23.5;44.5;294.5;53.5;38.5;9.5;6.0
38.5;62.5;17.5;12.5;44.5;17.5;38.5;251.5;43.5;18.5;16.5;6.0
33.5;35.5;28.5;12.5;53.5;23.5;49.5;294.5;55.5;38.5;9.5;6.0
51.5;25.5;33.5;22.5;61.5;16.5;45.5;297.5;31.5;34.5;21.5;7.0
11.5;99.5;7.5;5.5;10.5;12.5;84.5;13.5;68.5;46.5;52.5;8.0
90.5;30.5;70.5;28.5;50.5;17.5;39.5;350.5;18.5;44.5;21.5;6.0
50.5;24.5;54.5;13.5;47.5;6.5;22.5;292.5;30.5;15.5;13.5;5.0
39.5;63.5;63.5;13.5;75.5;13.5;91.5;237.5;28.5;18.5;8.5;5.0
82.5;51.5;67.5;19.5;28.5;6.5;21.5;333.5;15.5;21.5;19.5;5.0
75.5;24.5;77.5;44.5;31.5;7.5;34.5;346.5;34.5;24.5;53.5;7.0
21.5;77.5;4.5;71.5;82.5;54.5;108.5;329.5;59.5;17.5;19.5;5.0
70.5;50.5;61.5;24.5;52.5;13.5;45.5;316.5;30.5;29.5;33.5;6.0
70.5;50.5;61.5;24.5;52.5;13.5;45.5;316.5;30.5;29.5;33.5;6.0
42.5;83.5;24.5;19.5;29.5;9.5;38.5;187.5;22.5;19.5;12.5;5.0
21.5;77.5;4.5;71.5;82.5;54.5;108.5;329.5;59.5;17.5;19.5;5.0
32.5;12.5;32.5;9.5;24.5;20.5;34.5;96.5;41.5;11.5;31.5;6.0
77.5;37.5;56.5;24.5;50.5;19.5;60.5;337.5;22.5;25.5;26.5;6.0
69.5;51.5;51.5;26.5;50.5;10.5;37.5;329.5;27.5;27.5;26.5;6.0
32.5;68.5;7.5;26.5;40.5;15.5;23.5;266.5;38.5;25.5;8.5;5.0
42.5;17.5;48.5;5.5;24.5;11.5;21.5;211.5;48.5;40.5;22.5;6.0
53.5;33.5;49.5;22.5;28.5;9.5;24.5;294.5;36.5;29.5;31.5;6.0
75.5;26.5;68.5;30.5;58.5;12.5;26.5;331.5;30.5;27.5;31.5;7.0
59.5;20.5;60.5;38.5;102.5;6.5;12.5;237.5;31.5;34.5;36.5;6.0
80.5;35.5;51.5;48.5;35.5;26.5;45.5;294.5;17.5;21.5;16.5;4.0
45.5;32.5;36.5;22.5;45.5;26.5;82.5;314.5;50.5;26.5;13.5;6.0
46.5;34.5;37.5;21.5;45.5;23.5;74.5;314.5;50.5;26.5;13.5;5.0
26.5;77.5;18.5;12.5;64.5;15.5;73.5;211.5;39.5;28.5;11.5;5.0
54.5;28.5;55.5;70.5;62.5;6.5;15.5;311.5;39.5;46.5;40.5;7.0
43.5;41.5;36.5;26.5;52.5;24.5;108.5;297.5;38.5;25.5;13.5;5.0
41.5;75.5;26.5;69.5;78.5;31.5;108.5;350.5;44.5;71.5;11.5;5.0
61.5;37.5;66.5;17.5;74.5;6.5;16.5;237.5;38.5;30.5;40.5;6.0
25.5;48.5;14.5;12.5;56.5;34.5;108.5;143.5;56.5;12.5;26.5;5.0
74.5;25.5;53.5;13.5;81.5;7.5;16.5;331.5;36.5;40.5;25.5;6.0
23.5;84.5;2.5;11.5;31.5;34.5;48.5;276.5;74.5;32.5;19.5;5.0
50.5;46.5;35.5;21.5;54.5;35.5;63.5;251.5;40.5;37.5;41.5;7.0
21.5;97.5;5.5;19.5;24.5;32.5;44.5;114.5;64.5;20.5;46.5;7.0
32.5;113.5;22.5;13.5;12.5;15.5;56.5;137.5;48.5;8.5;32.5;5.0
60.5;10.5;49.5;15.5;31.5;6.5;20.5;284.5;27.5;54.5;33.5;7.0
32.5;113.5;22.5;13.5;12.5;15.5;56.5;137.5;48.5;8.5;32.5;5.0
21.5;97.5;5.5;19.5;24.5;32.5;44.5;114.5;64.5;20.5;46.5;7.0
19.5;64.5;10.5;15.5;10.5;19.5;44.5;96.5;61.5;13.5;37.5;6.0
50.5;86.5;24.5;12.5;42.5;6.5;28.5;316.5;38.5;20.5;28.5;6.0
46.5;41.5;35.5;4.5;35.5;9.5;26.5;284.5;36.5;24.5;11.5;5.0
83.5;97.5;65.5;21.5;53.5;13.5;31.5;333.5;22.5;24.5;25.5;6.0
60.5;10.5;49.5;15.5;31.5;6.5;20.5;284.5;27.5;54.5;33.5;7.0
33.5;45.5;37.5;17.5;39.5;21.5;62.5;266.5;37.5;20.5;9.5;5.0
74.5;24.5;71.5;19.5;43.5;12.5;20.5;155.5;12.5;29.5;51.5;6.0
78.5;26.5;65.5;19.5;56.5;6.5;14.5;346.5;28.5;13.5;13.5;5.0
59.5;29.5;57.5;32.5;41.5;22.5;50.5;331.5;27.5;53.5;19.5;6.0
78.5;26.5;65.5;19.5;56.5;6.5;14.5;346.5;28.5;13.5;13.5;5.0
35.5;64.5;32.5;13.5;25.5;38.5;58.5;155.5;38.5;20.5;23.5;6.0
66.5;34.5;74.5;32.5;31.5;6.5;18.5;311.5;29.5;30.5;35.5;6.0
59.5;29.5;57.5;32.5;41.5;22.5;50.5;331.5;27.5;53.5;19.5;6.0
25.5;55.5;20.5;6.5;27.5;7.5;46.5;108.5;20.5;24.5;11.5;5.0
81.5;17.5;73.5;17.5;37.5;6.5;25.5;314.5;4.5;46.5;18.5;8.0
74.5;28.5;67.5;16.5;33.5;7.5;23.5;316.5;18.5;32.5;36.5;6.0
93.5;67.5;77.5;38.5;64.5;6.5;39.5;358.5;9.5;32.5;35.5;7.0
55.5;33.5;51.5;26.5;42.5;11.5;15.5;187.5;35.5;27.5;39.5;7.0
8.5;47.5;3.5;9.5;19.5;5.5;23.5;29.5;69.5;48.5;48.5;7.0
50.5;77.5;12.5;15.5;44.5;6.5;27.5;311.5;35.5;20.5;22.5;6.0
80.5;25.5;62.5;24.5;46.5;31.5;68.5;331.5;22.5;37.5;26.5;5.0
48.5;37.5;31.5;15.5;87.5;6.5;12.5;224.5;34.5;36.5;35.5;5.0
41.5;42.5;24.5;13.5;64.5;7.5;23.5;218.5;32.5;20.5;23.5;6.0
74.5;26.5;71.5;27.5;60.5;17.5;31.5;329.5;22.5;25.5;31.5;6.0
74.5;26.5;71.5;27.5;60.5;17.5;31.5;329.5;22.5;25.5;31.5;6.0
39.5;24.5;55.5;11.5;121.5;9.5;22.5;288.5;18.5;70.5;8.5;6.0
23.5;46.5;5.5;9.5;49.5;18.5;31.5;224.5;56.5;27.5;21.5;6.0
59.5;19.5;65.5;27.5;49.5;5.5;18.5;336.5;38.5;38.5;35.5;7.0
25.5;9.5;42.5;7.5;28.5;21.5;63.5;114.5;62.5;27.5;34.5;5.0
68.5;55.5;69.5;56.5;51.5;6.5;15.5;316.5;34.5;33.5;57.5;8.0
44.5;50.5;41.5;19.5;60.5;5.5;18.5;311.5;49.5;22.5;24.5;5.0
47.5;57.5;23.5;26.5;62.5;29.5;61.5;316.5;40.5;22.5;16.5;5.0
59.5;19.5;65.5;27.5;49.5;5.5;18.5;336.5;38.5;38.5;35.5;7.0
71.5;48.5;68.5;17.5;39.5;10.5;43.5;348.5;37.5;21.5;6.5;3.0
47.5;32.5;54.5;19.5;48.5;14.5;19.5;276.5;47.5;25.5;36.5;6.0
38.5;54.5;24.5;24.5;52.5;6.5;15.5;297.5;38.5;25.5;11.5;5.0
65.5;12.5;70.5;23.5;50.5;10.5;21.5;237.5;30.5;25.5;41.5;5.0
36.5;62.5;71.5;17.5;63.5;25.5;108.5;251.5;20.5;17.5;6.5;5.0
70.5;18.5;56.5;15.5;49.5;5.5;11.5;314.5;10.5;34.5;9.5;6.0
55.5;15.5;42.5;28.5;63.5;10.5;22.5;347.5;60.5;55.5;17.5;5.0
58.5;39.5;44.5;13.5;34.5;21.5;47.5;297.5;28.5;36.5;38.5;6.0
43.5;35.5;47.5;24.5;30.5;7.5;14.5;85.5;44.5;43.5;61.5;6.0
69.5;22.5;71.5;15.5;55.5;6.5;17.5;337.5;29.5;26.5;9.5;6.0
42.5;93.5;4.5;3.5;35.5;36.5;44.5;114.5;32.5;22.5;18.5;5.0
85.5;18.5;67.5;24.5;58.5;15.5;43.5;331.5;17.5;25.5;28.5;5.0
51.5;43.5;44.5;21.5;46.5;25.5;48.5;237.5;32.5;35.5;37.5;6.0
80.5;24.5;57.5;24.5;48.5;25.5;64.5;330.5;27.5;46.5;25.5;6.0
54.5;21.5;57.5;15.5;27.5;5.5;10.5;244.5;38.5;43.5;28.5;5.0
60.5;14.5;53.5;9.5;45.5;10.5;20.5;297.5;32.5;53.5;12.5;6.0
51.5;66.5;26.5;17.5;52.5;5.5;24.5;316.5;26.5;24.5;23.5;5.0
48.5;13.5;43.5;13.5;56.5;6.5;12.5;292.5;40.5;34.5;17.5;5.0
59.5;10.5;51.5;11.5;40.5;6.5;16.5;281.5;30.5;70.5;33.5;6.0
51.5;66.5;26.5;17.5;52.5;5.5;24.5;316.5;26.5;24.5;23.5;5.0
49.5;67.5;13.5;26.5;42.5;6.5;27.5;305.5;31.5;34.5;22.5;6.0
61.5;14.5;41.5;79.5;34.5;6.5;19.5;356.5;24.5;30.5;9.5;5.0
49.5;16.5;58.5;27.5;45.5;6.5;13.5;194.5;27.5;56.5;40.5;8.0
61.5;22.5;61.5;17.5;96.5;6.5;14.5;311.5;16.5;69.5;12.5;5.0
61.5;22.5;62.5;17.5;96.5;7.5;14.5;311.5;16.5;70.5;12.5;5.0
61.5;33.5;70.5;43.5;75.5;6.5;20.5;237.5;18.5;30.5;57.5;6.0
57.5;64.5;41.5;12.5;19.5;6.5;13.5;276.5;29.5;11.5;21.5;5.0
57.5;64.5;41.5;12.5;19.5;6.5;13.5;276.5;29.5;11.5;21.5;5.0
57.5;60.5;38.5;11.5;18.5;5.5;10.5;297.5;29.5;6.5;21.5;6.0
71.5;18.5;57.5;27.5;46.5;35.5;63.5;342.5;44.5;56.5;31.5;7.0
48.5;26.5;42.5;24.5;38.5;10.5;22.5;305.5;46.5;39.5;23.5;6.0
48.5;85.5;29.5;27.5;43.5;24.5;52.5;305.5;43.5;31.5;28.5;6.0
47.5;29.5;52.5;22.5;20.5;12.5;21.5;114.5;46.5;43.5;56.5;7.0
44.5;28.5;53.5;24.5;17.5;13.5;23.5;103.5;44.5;54.5;57.5;7.0
42.5;68.5;33.5;30.5;51.5;23.5;77.5;342.5;60.5;38.5;39.5;6.0
20.5;26.5;25.5;71.5;16.5;28.5;87.5;114.5;56.5;19.5;44.5;6.0
62.5;21.5;55.5;24.5;35.5;5.5;12.5;251.5;27.5;29.5;33.5;8.0
33.5;41.5;27.5;12.5;46.5;14.5;34.5;305.5;55.5;29.5;6.5;6.0
27.5;20.5;34.5;22.5;55.5;44.5;104.5;211.5;44.5;43.5;34.5;5.0
62.5;21.5;55.5;24.5;35.5;5.5;12.5;251.5;27.5;29.5;33.5;8.0
42.5;68.5;33.5;30.5;51.5;23.5;77.5;342.5;60.5;38.5;39.5;6.0
33.5;41.5;27.5;12.5;46.5;14.5;34.5;305.5;55.5;29.5;6.5;6.0
59.5;33.5;74.5;68.5;39.5;38.5;72.5;319.5;29.5;49.5;43.5;7.0
59.5;33.5;74.5;68.5;39.5;38.5;72.5;319.5;29.5;49.5;43.5;7.0
60.5;12.5;49.5;12.5;43.5;6.5;20.5;276.5;30.5;68.5;32.5;7.0
60.5;10.5;44.5;11.5;42.5;6.5;18.5;276.5;33.5;69.5;31.5;7.0
57.5;38.5;65.5;28.5;37.5;10.5;22.5;224.5;28.5;42.5;48.5;7.0
59.5;10.5;48.5;11.5;40.5;6.5;17.5;276.5;37.5;66.5;31.5;7.0
67.5;64.5;57.5;19.5;49.5;6.5;9.5;337.5;29.5;35.5;13.5;6.0
55.5;50.5;33.5;17.5;55.5;26.5;58.5;329.5;30.5;27.5;23.5;6.0
87.5;15.5;76.5;27.5;49.5;23.5;39.5;311.5;16.5;32.5;37.5;7.0
79.5;31.5;51.5;49.5;38.5;19.5;39.5;284.5;14.5;25.5;13.5;5.0
55.5;50.5;33.5;17.5;55.5;26.5;58.5;329.5;30.5;27.5;23.5;6.0
62.5;28.5;50.5;15.5;85.5;15.5;45.5;292.5;15.5;45.5;17.5;6.0
60.5;40.5;66.5;21.5;71.5;6.5;11.5;258.5;21.5;30.5;41.5;7.0
60.5;40.5;66.5;21.5;71.5;6.5;11.5;258.5;21.5;30.5;41.5;7.0
40.5;62.5;51.5;64.5;82.5;34.5;111.5;349.5;43.5;78.5;11.5;5.0
80.5;51.5;51.5;46.5;64.5;5.5;10.5;349.5;37.5;38.5;42.5;6.0
59.5;53.5;51.5;15.5;107.5;5.5;12.5;329.5;28.5;27.5;2.5;3.0
64.5;7.5;51.5;27.5;53.5;11.5;28.5;251.5;34.5;32.5;40.5;6.0
28.5;23.5;51.5;22.5;53.5;39.5;101.5;211.5;48.5;42.5;33.5;5.0
53.5;11.5;51.5;26.5;53.5;15.5;29.5;297.5;54.5;54.5;21.5;6.0
31.5;29.5;51.5;13.5;53.5;16.5;39.5;292.5;60.5;28.5;8.5;5.0
37.5;26.5;51.5;19.5;64.5;47.5;108.5;288.5;50.5;63.5;18.5;5.0
48.5;28.5;51.5;22.5;50.5;38.5;110.5;284.5;34.5;19.5;12.5;5.0
47.5;32.5;51.5;21.5;51.5;23.5;107.5;276.5;35.5;28.5;13.5;5.0
59.5;59.5;26.5;27.5;69.5;29.5;49.5;336.5;36.5;31.5;19.5;5.0
28.5;23.5;51.5;22.5;53.5;39.5;101.5;211.5;48.5;42.5;33.5;5.0
25.5;25.5;51.5;22.5;62.5;33.5;81.5;180.5;51.5;41.5;37.5;6.0
